# Experiment Session ID: session_20250530_131617_s123_mfixed
# Date Generated: 2025-05-30 13:16:17 CEST
# Seed: 123
# Number of Training Runs: 5
# Population Size: 100
# Max Evaluations per Run: 3000
# Base Games vs Fixed Opponent List: 20
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot']
# Hall of Fame Size: 3
# Base Games vs Each HoF Member: 4
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: fixed
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-05-30 13:16:42,24.68,FixedSegBaseTotal:20;HoFBasePair:4,100,7.0,0.52,0.0,0.0,1.3303,"0.29696987,0.57187447,0.13768544,0.17573921,0.20424057,0.15144502,0.07679290,0.44749526,0.93757077,0.50273684,0.40882241,0.61597947,0.19364395,0.53828783,0.71882719,0.91664032,0.06133986,0.02990065,0.37106103,0.35904214","0.47639342,0.51382987,0.49084231,0.52315106,0.51539289,0.49615686,0.48860130,0.48359169,0.49493960,0.54290095,0.49263251,0.51821190,0.52713284,0.51518930,0.48534621,0.47687613,0.47489099,0.52213144,0.54327938,0.44977232","MaxAgentsBot:1/7,MaxPrestigeBot:3/6,PatronFavorsBot:3/7"
1,1,2025-05-30 13:17:07,50.21,FixedSegBaseTotal:20;HoFBasePair:4,200,8.0,1.14,0.0,0.0,1.9648,"0.76692272,0.00000000,1.00000000,0.30749355,0.18144710,0.58883941,0.00000000,0.55972535,0.22354873,0.00000000,0.33850709,0.34257083,0.43049023,0.85508829,0.78393873,0.56928152,1.00000000,0.00000000,1.00000000,0.00000000","0.47060965,0.49269754,0.45877253,0.53661697,0.49239232,0.56194472,0.39278222,0.44092720,0.53582808,0.49481349,0.45235026,0.56677512,0.53774181,0.52385423,0.57138137,0.51249151,0.54083517,0.48794269,0.55499906,0.49957217","MaxAgentsBot:3/7,MaxPrestigeBot:3/6,PatronFavorsBot:2/7"
1,2,2025-05-30 13:17:34,76.67,FixedSegBaseTotal:20;HoFBasePair:4,300,11.0,2.21,1.0,0.0,2.5546,"0.22229765,0.00000000,0.60454930,1.00000000,1.00000000,0.08530659,0.14224180,0.19646197,0.48372290,0.11484737,0.64481510,0.71047175,0.41196567,0.00816873,0.14091897,0.22006265,0.62602824,0.00000000,0.00000000,1.00000000","0.48147818,0.46618040,0.46641659,0.54278992,0.52914939,0.50491024,0.26275646,0.47416072,0.49803797,0.47185257,0.39204374,0.61068233,0.53006738,0.54899408,0.53536282,0.45888197,0.51149179,0.50119188,0.57319720,0.51796189","MaxAgentsBot:3/7,MaxPrestigeBot:3/6,PatronFavorsBot:5/7"
1,3,2025-05-30 13:17:59,101.58,FixedSegBaseTotal:20;HoFBasePair:4,400,11.0,2.78,1.0,0.0,2.6479,"0.12590376,0.55858970,0.66659453,0.27668587,0.93903891,0.00000000,0.00750953,0.00000000,0.22822868,0.49690085,0.12344339,0.69049388,1.00000000,0.95542957,0.02582487,0.05976536,1.00000000,0.44337737,0.63332162,1.00000000","0.46556909,0.50770582,0.49647385,0.59389817,0.51190128,0.47799853,0.18829890,0.47849850,0.49713678,0.51319294,0.41289330,0.70028651,0.55367601,0.52950929,0.51641507,0.46322748,0.50926041,0.51240423,0.59431015,0.55707462","MaxAgentsBot:5/7,MaxPrestigeBot:2/6,PatronFavorsBot:4/7"
1,4,2025-05-30 13:18:29,131.89,FixedSegBaseTotal:20;HoFBasePair:4,500,16.0,4.05,3.0,1.0,3.0012,"0.30389327,0.32076774,0.82289209,0.43744180,0.81675130,0.00000000,0.00000000,0.05651078,0.00000000,0.95934174,0.10183021,0.50191026,0.36016390,1.00000000,1.00000000,0.69672252,0.00000000,0.00000000,0.05759631,1.00000000","0.43915715,0.42630964,0.52918644,0.57240789,0.55083139,0.46866091,0.12241604,0.44753300,0.49995934,0.51896348,0.41038694,0.72532652,0.59539011,0.54056314,0.53810367,0.47738299,0.53737584,0.48197767,0.56698097,0.54167915","MaxAgentsBot:6/7,MaxPrestigeBot:3/6,PatronFavorsBot:7/7"
1,5,2025-05-30 13:19:00,163.42,FixedSegBaseTotal:20;HoFBasePair:4,600,16.0,5.25,4.0,2.0,2.9441,"0.30389327,0.32076774,0.82289209,0.43744180,0.81675130,0.00000000,0.00000000,0.05651078,0.00000000,0.95934174,0.10183021,0.50191026,0.36016390,1.00000000,1.00000000,0.69672252,0.00000000,0.00000000,0.05759631,1.00000000","0.44479091,0.42118912,0.50284975,0.55186325,0.53652786,0.46878585,0.07682149,0.46452197,0.55508263,0.51491398,0.47413128,0.73458321,0.59464889,0.50669640,0.57823227,0.50213587,0.53754916,0.44264742,0.54655817,0.49795886","MaxAgentsBot:6/7,MaxPrestigeBot:3/6,PatronFavorsBot:7/7"
1,6,2025-05-30 13:19:31,194.15,FixedSegBaseTotal:20;HoFBasePair:4,700,16.0,6.23,6.0,3.0,2.877,"0.30389327,0.32076774,0.82289209,0.43744180,0.81675130,0.00000000,0.00000000,0.05651078,0.00000000,0.95934174,0.10183021,0.50191026,0.36016390,1.00000000,1.00000000,0.69672252,0.00000000,0.00000000,0.05759631,1.00000000","0.46446790,0.41983394,0.51919248,0.55658590,0.51574163,0.41104273,0.06991662,0.48537743,0.57123498,0.50368761,0.50852769,0.77704151,0.60062224,0.50166617,0.56497186,0.49447166,0.49081767,0.37454312,0.57641327,0.45268865","MaxAgentsBot:6/7,MaxPrestigeBot:3/6,PatronFavorsBot:7/7"
1,7,2025-05-30 13:20:04,226.93,FixedSegBaseTotal:20;HoFBasePair:4,800,16.0,7.25,7.0,4.0,2.5666,"0.30389327,0.32076774,0.82289209,0.43744180,0.81675130,0.00000000,0.00000000,0.05651078,0.00000000,0.95934174,0.10183021,0.50191026,0.36016390,1.00000000,1.00000000,0.69672252,0.00000000,0.00000000,0.05759631,1.00000000","0.45174588,0.43237741,0.56426223,0.53450853,0.48342148,0.41842906,0.07252437,0.51170074,0.59728542,0.55996610,0.56263611,0.80355624,0.60795604,0.53454501,0.57180548,0.50820396,0.51749473,0.35619359,0.62333241,0.39510434","MaxAgentsBot:6/7,MaxPrestigeBot:3/6,PatronFavorsBot:7/7"
1,8,2025-05-30 13:20:36,258.77,FixedSegBaseTotal:20;HoFBasePair:4,900,16.0,7.89,7.0,5.0,2.349,"0.30389327,0.32076774,0.82289209,0.43744180,0.81675130,0.00000000,0.00000000,0.05651078,0.00000000,0.95934174,0.10183021,0.50191026,0.36016390,1.00000000,1.00000000,0.69672252,0.00000000,0.00000000,0.05759631,1.00000000","0.46915721,0.47265465,0.53587205,0.48757351,0.47961563,0.40355359,0.06819233,0.49290382,0.54514375,0.53472067,0.59662079,0.83177308,0.64396236,0.53808268,0.58386441,0.50823531,0.55380051,0.36090810,0.69264966,0.36898041","MaxAgentsBot:6/7,MaxPrestigeBot:3/6,PatronFavorsBot:7/7"
1,9,2025-05-30 13:21:07,289.61,FixedSegBaseTotal:20;HoFBasePair:4,1000,16.0,8.38,8.0,6.0,2.2171,"0.30389327,0.32076774,0.82289209,0.43744180,0.81675130,0.00000000,0.00000000,0.05651078,0.00000000,0.95934174,0.10183021,0.50191026,0.36016390,1.00000000,1.00000000,0.69672252,0.00000000,0.00000000,0.05759631,1.00000000","0.43496960,0.51628879,0.51772730,0.47472166,0.49199621,0.39984027,0.06404017,0.46725203,0.53627472,0.54772965,0.62355031,0.85195149,0.67398973,0.54862597,0.60004685,0.46889292,0.54344315,0.42969824,0.71637615,0.32673932","MaxAgentsBot:6/7,MaxPrestigeBot:3/6,PatronFavorsBot:7/7"
