# Experiment Session ID: session_20250602_085435_s123_mfixed
# Date Generated: 2025-06-02 08:54:35 CEST
# Seed: 123
# Number of Training Runs: 5
# Population Size: 100
# Max Evaluations per Run: 7000
# Base Games vs Fixed Opponent List: 20
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot']
# Hall of Fame Size: 3
# Base Games vs Each HoF Member: 4
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: fixed
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,10,2025-06-02 08:59:59,323.98,FixedSegBaseTotal:20;HoFBasePair:4,1100,15.0,9.04,9.0,7.0,1.9744,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.49536491,0.45929887,0.51792467,0.52539524,0.59836568,0.34778000,0.05395391,0.45169037,0.42049671,0.56025322,0.60834126,0.86127332,0.51835353,0.57581797,0.56664002,0.52770179,0.52650527,0.50591111,0.52347676,0.30871960","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,11,2025-06-02 09:00:30,355.11,FixedSegBaseTotal:20;HoFBasePair:4,1200,15.0,9.5,9.0,7.0,1.9157,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.47158783,0.44054093,0.50115909,0.56710184,0.60481460,0.31614075,0.04836270,0.39552288,0.39316931,0.58600255,0.58609669,0.86863922,0.51193302,0.56943334,0.53780553,0.47164693,0.50676677,0.52448797,0.46428123,0.31608093","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,12,2025-06-02 09:01:01,385.91,FixedSegBaseTotal:20;HoFBasePair:4,1300,15.0,9.91,9.0,8.0,1.7384,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.48065554,0.42915415,0.49933605,0.58195233,0.57153823,0.29984571,0.04437784,0.41567217,0.39796634,0.57183996,0.60578804,0.88535241,0.45677954,0.55164212,0.54659649,0.47196839,0.48288189,0.53810666,0.52060643,0.31555454","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,13,2025-06-02 09:01:31,416.66,FixedSegBaseTotal:20;HoFBasePair:4,1400,15.0,10.19,10.0,8.0,1.6775,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.51978145,0.46338537,0.53181289,0.57859038,0.58493106,0.28429047,0.03894897,0.38003133,0.38452255,0.58419574,0.60338831,0.90477305,0.43421740,0.56871816,0.53651621,0.45918606,0.50554882,0.51710245,0.48928687,0.29572085","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,14,2025-06-02 09:02:02,447.03,FixedSegBaseTotal:20;HoFBasePair:4,1500,15.0,10.48,10.0,9.0,1.473,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.52266460,0.47227853,0.53309156,0.57937004,0.56975928,0.25460160,0.03979657,0.38373814,0.37825690,0.59792450,0.59231298,0.89815302,0.42195859,0.56404259,0.51591879,0.42326497,0.54045724,0.49868234,0.45700261,0.28335680","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,15,2025-06-02 09:02:31,476.52,FixedSegBaseTotal:20;HoFBasePair:4,1600,15.0,10.73,10.0,9.0,1.4481,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.51675455,0.48962973,0.53637335,0.60001509,0.58586481,0.25368762,0.03890684,0.34771477,0.34964084,0.59993077,0.58524441,0.88254874,0.37414213,0.58384377,0.50740046,0.42131580,0.47970425,0.49993829,0.46112712,0.28535586","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,16,2025-06-02 09:03:03,507.7,FixedSegBaseTotal:20;HoFBasePair:4,1700,15.0,10.88,11.0,9.0,1.402,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.52339423,0.48449925,0.53600560,0.60987091,0.57686619,0.23483928,0.03737724,0.30189392,0.35295428,0.56966218,0.56684085,0.87459817,0.37474327,0.54819050,0.48532635,0.43595840,0.46515404,0.48831291,0.45266591,0.28497854","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,17,2025-06-02 09:03:35,540.65,FixedSegBaseTotal:20;HoFBasePair:4,1800,15.0,11.21,11.0,10.0,1.3364,"0.96616829,0.96410477,0.54009261,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.28620882,0.58862803,0.14493747,0.77085727,0.00000000,1.00000000,0.00000000,0.51704670,0.00000000,0.58936876,0.77783352,0.28531814","0.54407073,0.49357157,0.53281401,0.61017244,0.55727967,0.20350044,0.03925751,0.26058333,0.34705017,0.58248190,0.53444325,0.86794636,0.36616119,0.51403035,0.43433384,0.42383833,0.47647404,0.49500877,0.49827695,0.28611665","MaxAgentsBot:7/7,MaxPrestigeBot:4/6,PatronFavorsBot:4/7"
1,18,2025-06-02 09:04:08,573.66,FixedSegBaseTotal:20;HoFBasePair:4,1900,16.0,11.41,11.0,10.0,1.4078,"0.70964440,0.63496058,1.00000000,0.19357825,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18170795,0.27342189,0.00000000,0.00000000,0.00000000,1.00000000,0.59623833,0.87718331,0.54310975,0.02688164","0.51556290,0.46687967,0.51941853,0.63308227,0.57214577,0.18474426,0.03811704,0.24488912,0.34236644,0.58347765,0.52956834,0.87113686,0.31690019,0.48887107,0.44317960,0.43693449,0.48871860,0.48302402,0.49033873,0.27278888","MaxAgentsBot:6/7,MaxPrestigeBot:3/6,PatronFavorsBot:7/7"
1,19,2025-06-02 09:04:38,603.66,FixedSegBaseTotal:20;HoFBasePair:4,2000,16.0,11.55,11.0,10.0,1.3883,"0.70964440,0.63496058,1.00000000,0.19357825,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18170795,0.27342189,0.00000000,0.00000000,0.00000000,1.00000000,0.59623833,0.87718331,0.54310975,0.02688164","0.51634347,0.47616971,0.50608806,0.59840217,0.59702246,0.19041488,0.03734506,0.25160861,0.33317106,0.53955288,0.52645389,0.86171061,0.33597517,0.47411679,0.45059253,0.43990726,0.49836429,0.43972588,0.49759659,0.26722118","MaxAgentsBot:6/7,MaxPrestigeBot:3/6,PatronFavorsBot:7/7"
1,20,2025-06-02 09:05:09,634.1,FixedSegBaseTotal:20;HoFBasePair:4,2100,16.0,11.62,11.0,10.0,1.3548,"0.70964440,0.63496058,1.00000000,0.19357825,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18170795,0.27342189,0.00000000,0.00000000,0.00000000,1.00000000,0.59623833,0.87718331,0.54310975,0.02688164","0.53623106,0.50080718,0.49907844,0.58583066,0.57804918,0.19941360,0.03645419,0.25214260,0.33675574,0.55225503,0.52796959,0.85930713,0.34373875,0.46315628,0.45310882,0.44621577,0.48906950,0.44109360,0.48648189,0.26292537","MaxAgentsBot:6/7,MaxPrestigeBot:3/6,PatronFavorsBot:7/7"
1,21,2025-06-02 09:05:41,666.53,FixedSegBaseTotal:20;HoFBasePair:4,2200,17.0,11.83,11.0,10.0,1.386,"1.00000000,1.00000000,0.45328487,0.00721187,0.54720144,0.00000000,0.00000000,0.00000000,0.34478461,0.89192723,0.07382439,1.00000000,0.00000000,0.00000000,0.00000000,0.36409038,0.00000000,0.37067544,0.00000000,0.00000000","0.58328399,0.52291089,0.48772755,0.57037106,0.54613253,0.16142924,0.03406118,0.24660942,0.36644346,0.60501544,0.52759273,0.85746450,0.34944006,0.45866184,0.43661717,0.48665776,0.48834138,0.42818196,0.46050199,0.21781682","MaxAgentsBot:6/7,MaxPrestigeBot:4/6,PatronFavorsBot:7/7"
1,22,2025-06-02 09:06:12,697.59,FixedSegBaseTotal:20;HoFBasePair:4,2300,18.0,12.0,12.0,10.0,1.4697,"0.76538451,0.53017439,0.46821882,0.04711646,0.31778406,0.00000000,0.00000000,0.06423201,0.35297110,0.66560896,0.65929259,0.98602729,0.09758046,0.22585479,0.15775919,0.07731025,0.46541670,0.51043131,0.00000000,0.00000000","0.59572680,0.53192128,0.48595742,0.58415438,0.53091283,0.15337912,0.03491109,0.24855731,0.37362507,0.59507043,0.51847507,0.85204072,0.31610118,0.48541356,0.43447543,0.50381707,0.47432466,0.44183805,0.48495515,0.21545722","MaxAgentsBot:7/7,MaxPrestigeBot:5/6,PatronFavorsBot:6/7"
