# Experiment Session ID: session_20250602_210617_s123_mhybrid
# Date Generated: 2025-06-02 21:06:17 CEST
# Seed: 123
# Number of Training Runs: 5
# Population Size: 20
# Max Evaluations per Run: 5000
# Base Games vs Fixed Opponent List: 20
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot']
# Base Coevo Games per Peer Pairing: 4
# Hall of Fame Size: 3
# Base Games vs Each HoF Member: 4
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.4,coevolution:0.3,fixed:0.3
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,10,2025-06-02 21:07:35,78.62,FixedSegBaseTotal:20;HoFBasePair:4,220,13.0,9.75,9.0,8.0,1.5124,"1.00000000,0.00000000,0.31493344,1.00000000,0.71120052,0.00000000,0.00000000,0.00000000,0.00000000,0.85790830,0.21934469,0.43230845,0.37879283,1.00000000,1.00000000,1.00000000,0.18084613,0.98743724,0.18349462,1.00000000","0.68662344,0.54691331,0.46989015,0.50669050,0.66683885,0.17741832,0.05099369,0.54972091,0.53098287,0.48487231,0.70889546,0.95226604,0.28224038,0.57337458,0.79933683,0.70058022,0.49050990,0.55287556,0.59899032,0.44148500","MaxAgentsBot:6/7,MaxPrestigeBot:0/6,PatronFavorsBot:7/7"
1,11,2025-06-02 21:07:41,84.72,FixedSegBaseTotal:20;HoFBasePair:4,240,13.0,10.2,10.0,9.0,1.2083,"1.00000000,0.00000000,0.31493344,1.00000000,0.71120052,0.00000000,0.00000000,0.00000000,0.00000000,0.85790830,0.21934469,0.43230845,0.37879283,1.00000000,1.00000000,1.00000000,0.18084613,0.98743724,0.18349462,1.00000000","0.60178846,0.50599776,0.48832608,0.49941924,0.62026805,0.15657377,0.04448024,0.47905786,0.40996607,0.58683078,0.64528697,0.92855784,0.40907620,0.61915875,0.74128604,0.63253720,0.41679526,0.59082874,0.59559156,0.44822547","MaxAgentsBot:6/7,MaxPrestigeBot:0/6,PatronFavorsBot:7/7"
1,12,2025-06-02 21:07:48,91.49,FixedSegBaseTotal:20;HoFBasePair:4,260,14.0,10.55,10.0,9.0,1.3592,"1.00000000,0.36214253,0.89794654,1.00000000,0.94384917,0.00000000,0.00000000,0.00000000,0.04880539,0.89432042,0.23646085,0.67727005,0.07652771,1.00000000,0.70959491,1.00000000,0.00000000,0.36968129,0.14790365,1.00000000","0.67171078,0.48367424,0.46697463,0.48272053,0.63014668,0.20713853,0.04382310,0.48703661,0.49697629,0.63209935,0.61724961,0.90846819,0.47219815,0.60430399,0.74202934,0.64130488,0.46852274,0.59596990,0.57428213,0.42406740","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:7/7"
1,13,2025-06-02 21:07:54,97.74,FixedSegBaseTotal:20;HoFBasePair:4,280,14.0,10.55,10.0,9.0,1.3592,"1.00000000,0.36214253,0.89794654,1.00000000,0.94384917,0.00000000,0.00000000,0.00000000,0.04880539,0.89432042,0.23646085,0.67727005,0.07652771,1.00000000,0.70959491,1.00000000,0.00000000,0.36968129,0.14790365,1.00000000","0.69027754,0.44206663,0.47375751,0.48625103,0.61730317,0.15713853,0.04534375,0.44165732,0.50820864,0.63219651,0.58594162,0.88148081,0.42219815,0.56734071,0.71795448,0.69130488,0.48645741,0.58508570,0.57481798,0.43338060","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:7/7"
1,14,2025-06-02 21:08:02,105.03,FixedSegBaseTotal:20;HoFBasePair:4,300,14.0,10.55,10.0,9.0,1.3592,"1.00000000,0.36214253,0.89794654,1.00000000,0.94384917,0.00000000,0.00000000,0.00000000,0.04880539,0.89432042,0.23646085,0.67727005,0.07652771,1.00000000,0.70959491,1.00000000,0.00000000,0.36968129,0.14790365,1.00000000","0.65939820,0.49463332,0.47301689,0.45720414,0.58897592,0.28511689,0.05494960,0.48903058,0.46594089,0.61763136,0.63218612,0.91242135,0.39323540,0.55318952,0.74708506,0.59250133,0.58077493,0.54549867,0.50162751,0.45742663","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:7/7"
1,15,2025-06-02 21:08:09,112.04,FixedSegBaseTotal:20;HoFBasePair:4,320,14.0,10.75,10.5,9.0,1.2196,"1.00000000,0.36214253,0.89794654,1.00000000,0.94384917,0.00000000,0.00000000,0.00000000,0.04880539,0.89432042,0.23646085,0.67727005,0.07652771,1.00000000,0.70959491,1.00000000,0.00000000,0.36968129,0.14790365,1.00000000","0.72191122,0.46709475,0.54328007,0.49689809,0.55116100,0.24445320,0.03584093,0.41607907,0.53972980,0.62373795,0.60383134,0.89197966,0.33966550,0.67329133,0.69742925,0.69182364,0.56142480,0.58622003,0.47235578,0.41030626","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:7/7"
1,16,2025-06-02 21:08:15,118.81,FixedSegBaseTotal:20;HoFBasePair:4,340,14.0,10.8,10.5,9.0,1.1662,"1.00000000,0.36214253,0.89794654,1.00000000,0.94384917,0.00000000,0.00000000,0.00000000,0.04880539,0.89432042,0.23646085,0.67727005,0.07652771,1.00000000,0.70959491,1.00000000,0.00000000,0.36968129,0.14790365,1.00000000","0.69210778,0.45379330,0.52807494,0.43680911,0.58764791,0.19847001,0.03896726,0.44692244,0.58486198,0.61318321,0.61168329,0.88859356,0.30114260,0.67405566,0.72291485,0.68450303,0.60191797,0.54459981,0.52588652,0.44603882","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:7/7"
1,17,2025-06-02 21:08:23,126.61,FixedSegBaseTotal:20;HoFBasePair:4,360,14.0,11.2,11.0,10.0,1.1662,"1.00000000,0.36214253,0.89794654,1.00000000,0.94384917,0.00000000,0.00000000,0.00000000,0.04880539,0.89432042,0.23646085,0.67727005,0.07652771,1.00000000,0.70959491,1.00000000,0.00000000,0.36968129,0.14790365,1.00000000","0.72203312,0.39890042,0.44326410,0.44519924,0.61207099,0.19547806,0.03489271,0.38467291,0.54513152,0.65771435,0.55024617,0.82972916,0.34664950,0.65037230,0.70206066,0.67172044,0.57458298,0.57749902,0.38402165,0.42206239","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:7/7"
1,18,2025-06-02 21:08:30,132.95,FixedSegBaseTotal:20;HoFBasePair:4,380,14.0,11.5,11.0,10.0,1.118,"1.00000000,0.36214253,0.89794654,1.00000000,0.94384917,0.00000000,0.00000000,0.00000000,0.04880539,0.89432042,0.23646085,0.67727005,0.07652771,1.00000000,0.70959491,1.00000000,0.00000000,0.36968129,0.14790365,1.00000000","0.71020769,0.37518446,0.45610593,0.43624294,0.59436213,0.14839316,0.03205269,0.34086989,0.46127300,0.72438913,0.50637463,0.77596596,0.31241146,0.64290060,0.67435513,0.74546888,0.52434959,0.57825087,0.29520113,0.47722220","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:7/7"
1,19,2025-06-02 21:08:36,139.64,FixedSegBaseTotal:20;HoFBasePair:4,400,14.0,11.5,11.0,10.0,1.118,"1.00000000,0.36214253,0.89794654,1.00000000,0.94384917,0.00000000,0.00000000,0.00000000,0.04880539,0.89432042,0.23646085,0.67727005,0.07652771,1.00000000,0.70959491,1.00000000,0.00000000,0.36968129,0.14790365,1.00000000","0.71020769,0.42518446,0.42654078,0.46578614,0.60853329,0.18970790,0.03026693,0.35308892,0.41906668,0.75318566,0.50878211,0.77596596,0.35979480,0.66304872,0.63733744,0.73495257,0.52434959,0.55846478,0.32021955,0.46286285","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:7/7"
