# Experiment Session ID: session_20250530_170715_s123_mhybrid
# Date Generated: 2025-05-30 17:07:15 CEST
# Seed: 123
# Number of Training Runs: 5
# Population Size: 20
# Max Evaluations per Run: 3000
# Base Games vs Fixed Opponent List: 20
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot']
# Base Coevo Games per Peer Pairing: 4
# Hall of Fame Size: 3
# Base Games vs Each HoF Member: 4
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.4,coevolution:0.3,fixed:0.3
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-05-30 17:07:20,5.45,FixedSegBaseTotal:20;HoFBasePair:4,20,4.0,0.4,0.0,0.0,0.9165,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.35122541,0.44179438,0.51690577,0.50135966,0.49990176,0.49736938,0.47683692,0.37450406,0.56551871,0.42715024,0.56026021,0.52194248,0.45569636,0.57843957,0.46910484,0.48023183,0.44311117,0.49268299,0.44801795,0.49875663","MaxAgentsBot:1/7,MaxPrestigeBot:2/6,PatronFavorsBot:1/7"
1,1,2025-05-30 17:07:27,12.51,FixedSegBaseTotal:20;HoFBasePair:4,40,9.0,1.3,0.5,0.0,2.1703,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.28326121,0.40526583,0.48398972,0.51019198,0.60236500,0.46861115,0.30191054,0.44229183,0.56540707,0.48074111,0.49502989,0.61133392,0.41463392,0.57698700,0.56898081,0.41837253,0.35102970,0.40158138,0.47960782,0.41224947","MaxAgentsBot:1/7,MaxPrestigeBot:4/6,PatronFavorsBot:4/7"
1,2,2025-05-30 17:07:33,17.93,FixedSegBaseTotal:20;HoFBasePair:4,60,9.0,1.95,1.0,0.0,2.3974,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.32530729,0.31420728,0.52697788,0.54985616,0.61669645,0.43652295,0.28075516,0.55997240,0.32779725,0.48895829,0.27851938,0.52037647,0.38265528,0.57068332,0.56105173,0.58865678,0.41745488,0.53688290,0.45306613,0.43797344","MaxAgentsBot:1/7,MaxPrestigeBot:4/6,PatronFavorsBot:4/7"
1,3,2025-05-30 17:07:40,25.52,FixedSegBaseTotal:20;HoFBasePair:4,80,9.0,2.65,1.5,0.0,2.3297,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.33521652,0.34936944,0.57102121,0.48123847,0.50006789,0.58125623,0.13902160,0.52550969,0.38833217,0.52256025,0.28865072,0.64286242,0.34154103,0.62445690,0.53062201,0.56129085,0.44444973,0.58784341,0.53169177,0.46623447","MaxAgentsBot:1/7,MaxPrestigeBot:4/6,PatronFavorsBot:4/7"
1,4,2025-05-30 17:07:47,32.57,FixedSegBaseTotal:20;HoFBasePair:4,100,9.0,3.25,3.0,1.0,2.188,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.23871605,0.38018451,0.61433255,0.34156176,0.41749921,0.64941242,0.05792419,0.50939953,0.36867242,0.50292015,0.34659112,0.70210801,0.36976780,0.70407645,0.45810452,0.57069417,0.43344642,0.55966336,0.64530977,0.54268544","MaxAgentsBot:1/7,MaxPrestigeBot:4/6,PatronFavorsBot:4/7"
1,5,2025-05-30 17:07:55,40.28,FixedSegBaseTotal:20;HoFBasePair:4,120,9.0,5.05,4.0,3.0,1.8835,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.30353065,0.41220639,0.57385968,0.35374433,0.47569931,0.48380114,0.07235795,0.40798531,0.42050626,0.49117808,0.45922524,0.68210719,0.30487919,0.71349455,0.59054609,0.62642411,0.44321471,0.63701392,0.67772563,0.41274933","MaxAgentsBot:1/7,MaxPrestigeBot:4/6,PatronFavorsBot:4/7"
1,6,2025-05-30 17:08:02,47.33,FixedSegBaseTotal:20;HoFBasePair:4,140,13.0,6.2,6.0,3.0,2.5219,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.29257760,0.37222516,0.57393147,0.41830460,0.40755967,0.35196055,0.05534728,0.49960265,0.51855235,0.52863568,0.45782044,0.68227590,0.41367537,0.70387559,0.60917714,0.58018369,0.38347008,0.76106303,0.67187731,0.48464733","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,7,2025-05-30 17:08:08,53.34,FixedSegBaseTotal:20;HoFBasePair:4,160,13.0,6.3,6.0,4.0,2.431,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.34257760,0.39610525,0.52393147,0.40482838,0.43674556,0.35196055,0.05534728,0.48188355,0.53622647,0.51907001,0.43214817,0.66842026,0.43221469,0.65793774,0.58781572,0.58168064,0.37403451,0.77030103,0.68022519,0.46119834","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,8,2025-05-30 17:08:15,60.24,FixedSegBaseTotal:20;HoFBasePair:4,180,13.0,6.8,6.0,4.0,2.6,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.33673238,0.30709647,0.53627188,0.42029331,0.33770818,0.30827735,0.04857540,0.55999289,0.50147046,0.51643662,0.46537827,0.65349591,0.43577696,0.69146269,0.59987239,0.50189565,0.42440841,0.77485780,0.66175572,0.48351286","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,9,2025-05-30 17:08:22,67.35,FixedSegBaseTotal:20;HoFBasePair:4,200,13.0,7.5,7.0,5.0,2.2472,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.37323355,0.30605466,0.60810894,0.41479418,0.45835072,0.42096638,0.05535016,0.57996515,0.49211620,0.54157890,0.57770976,0.76911130,0.37476607,0.75434016,0.68604601,0.46697170,0.36521489,0.71795391,0.72221307,0.47641556","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,10,2025-05-30 17:08:29,74.31,FixedSegBaseTotal:20;HoFBasePair:4,220,13.0,7.8,7.0,6.0,2.0396,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.40549809,0.37196168,0.57777640,0.43719524,0.39645008,0.43639339,0.05055761,0.58443048,0.46041051,0.53796393,0.59712880,0.78582205,0.37502291,0.74671538,0.64770194,0.45573741,0.31588627,0.71297305,0.73024555,0.47121875","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,11,2025-05-30 17:08:35,80.88,FixedSegBaseTotal:20;HoFBasePair:4,240,13.0,8.35,8.0,6.0,1.8782,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.38635220,0.47137202,0.46279883,0.49409468,0.46363876,0.42115765,0.05680010,0.49178988,0.53984828,0.58757468,0.62401127,0.82407924,0.32307921,0.68816678,0.64318126,0.42324562,0.29194160,0.67615828,0.75563867,0.39466567","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,12,2025-05-30 17:08:42,87.42,FixedSegBaseTotal:20;HoFBasePair:4,260,13.0,9.1,8.5,7.0,1.6401,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.45605696,0.57531218,0.44406370,0.54934988,0.48638272,0.39141318,0.05540004,0.44779555,0.62324333,0.62916913,0.64017231,0.84344314,0.28930865,0.65929328,0.68601389,0.40285424,0.30319224,0.59533236,0.72009878,0.32346243","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,13,2025-05-30 17:08:48,93.09,FixedSegBaseTotal:20;HoFBasePair:4,280,13.0,9.4,9.0,8.0,1.6248,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.41888109,0.62036282,0.44233375,0.50601359,0.50348823,0.39536848,0.05537810,0.45082658,0.62899376,0.62611318,0.61625418,0.84395961,0.23628902,0.68027406,0.70162408,0.39461504,0.26599042,0.57493965,0.75002283,0.29736259","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,14,2025-05-30 17:08:54,98.99,FixedSegBaseTotal:20;HoFBasePair:4,300,13.0,9.6,9.0,8.0,1.6852,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.36196574,0.63019363,0.51347950,0.52883632,0.47504336,0.40773699,0.03957638,0.47450552,0.65073135,0.67611318,0.66120643,0.87015170,0.23571501,0.67535753,0.67614771,0.39457526,0.25664714,0.56892620,0.77503725,0.33286363","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,15,2025-05-30 17:09:00,105.71,FixedSegBaseTotal:20;HoFBasePair:4,320,13.0,9.65,9.0,8.0,1.6515,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.37072499,0.63019363,0.50065704,0.52144601,0.49322484,0.42678950,0.03975041,0.45634847,0.64388484,0.72611318,0.66481884,0.87015170,0.20951834,0.67535753,0.66378165,0.38684167,0.28651624,0.58444791,0.78763902,0.34111877","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,16,2025-05-30 17:09:06,111.31,FixedSegBaseTotal:20;HoFBasePair:4,340,13.0,9.8,9.0,8.0,1.631,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.42072499,0.60347548,0.57527218,0.53130398,0.53123513,0.38788915,0.03316259,0.41202510,0.73618313,0.74039102,0.63091351,0.82771051,0.18122389,0.63181866,0.63917474,0.43358996,0.27097295,0.53793016,0.77940524,0.29913132","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,17,2025-05-30 17:09:13,118.54,FixedSegBaseTotal:20;HoFBasePair:4,360,13.0,9.85,9.0,8.0,1.5898,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.41074546,0.54970687,0.62527218,0.55301085,0.54837447,0.36309303,0.02081146,0.44920597,0.73618313,0.74395146,0.62126993,0.81488458,0.16139022,0.66118942,0.56814550,0.45498982,0.17386651,0.52540694,0.79280164,0.37631012","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,18,2025-05-30 17:09:20,125.51,FixedSegBaseTotal:20;HoFBasePair:4,380,13.0,10.15,9.5,8.0,1.4925,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.37658194,0.56369698,0.56280109,0.47052338,0.59308984,0.31428242,0.02311839,0.40410248,0.60596965,0.70857782,0.61480032,0.85234814,0.24113262,0.67829662,0.60601362,0.45255371,0.21061575,0.54302924,0.76559572,0.43807642","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,19,2025-05-30 17:09:27,132.21,FixedSegBaseTotal:20;HoFBasePair:4,400,13.0,10.45,10.5,9.0,1.3592,"0.15459494,0.76007439,0.60580511,0.21790879,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13618026,0.60112951,0.00000000,0.50830884,0.79139386,0.73328607,0.00000000,0.58045781,1.00000000,0.05177383","0.36503043,0.51945070,0.50380246,0.48128378,0.62246534,0.34917162,0.02626994,0.37779257,0.67077936,0.70857782,0.63390712,0.86471915,0.29318133,0.71515150,0.59536925,0.42966157,0.23345823,0.55348785,0.78095577,0.41035539","MaxAgentsBot:6/7,MaxPrestigeBot:1/6,PatronFavorsBot:6/7"
1,20,2025-05-30 17:09:35,140.22,FixedSegBaseTotal:20;HoFBasePair:4,420,13.0,10.75,11.0,9.0,1.3739,"0.18071394,1.00000000,1.00000000,0.48385022,1.00000000,0.00000000,0.00000000,0.00000000,0.49359294,1.00000000,0.02669496,0.85617951,0.09240039,0.59623313,0.83907797,0.88424236,0.55385939,0.60567807,1.00000000,0.00000000","0.29533792,0.54589325,0.45664853,0.49309871,0.69653774,0.36249735,0.02858956,0.44102072,0.69545901,0.71550243,0.62491740,0.89823495,0.34006599,0.71357191,0.60139528,0.45242927,0.24377989,0.51955924,0.80071231,0.41576910","MaxAgentsBot:6/7,MaxPrestigeBot:2/6,PatronFavorsBot:5/7"
1,21,2025-05-30 17:09:41,146.03,FixedSegBaseTotal:20;HoFBasePair:4,440,13.0,11.05,11.0,9.0,1.3219,"0.57441075,0.00000000,1.00000000,0.64950181,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.59576725,0.95580781,0.20658589,0.92966318,0.84386824,0.73933651,1.00000000,0.55415419,1.00000000,0.00000000","0.30770761,0.49646236,0.43466065,0.43374440,0.72177675,0.41032939,0.03220265,0.48231939,0.68388767,0.70217271,0.64317962,0.89602534,0.34426425,0.72055868,0.63218786,0.44960876,0.26910091,0.53157534,0.79988259,0.32921934","MaxAgentsBot:6/7,MaxPrestigeBot:2/6,PatronFavorsBot:5/7"
1,22,2025-05-30 17:09:46,151.92,FixedSegBaseTotal:20;HoFBasePair:4,460,13.0,11.05,11.0,9.0,1.3219,"0.57441075,0.00000000,1.00000000,0.64950181,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.59576725,0.95580781,0.20658589,0.92966318,0.84386824,0.73933651,1.00000000,0.55415419,1.00000000,0.00000000","0.29989445,0.53876402,0.45659995,0.46917685,0.68154305,0.40432806,0.03217814,0.48504400,0.68388767,0.67771172,0.64417502,0.89602534,0.29884533,0.72290660,0.62739891,0.45276363,0.28295484,0.52889573,0.81603125,0.35467646","MaxAgentsBot:6/7,MaxPrestigeBot:2/6,PatronFavorsBot:5/7"
1,23,2025-05-30 17:09:53,158.14,FixedSegBaseTotal:20;HoFBasePair:4,480,13.0,11.2,11.0,9.0,1.1662,"0.57441075,0.00000000,1.00000000,0.64950181,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.59576725,0.95580781,0.20658589,0.92966318,0.84386824,0.73933651,1.00000000,0.55415419,1.00000000,0.00000000","0.32419668,0.54894739,0.46752470,0.45252379,0.64161088,0.39124496,0.03164410,0.42755094,0.71869818,0.66581210,0.64152161,0.89405983,0.32621439,0.74499262,0.60860810,0.43806047,0.25019927,0.52223878,0.80823239,0.35727870","MaxAgentsBot:6/7,MaxPrestigeBot:2/6,PatronFavorsBot:5/7"
1,24,2025-05-30 17:09:59,164.73,FixedSegBaseTotal:20;HoFBasePair:4,500,13.0,11.25,11.0,9.0,1.0897,"0.57441075,0.00000000,1.00000000,0.64950181,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.59576725,0.95580781,0.20658589,0.92966318,0.84386824,0.73933651,1.00000000,0.55415419,1.00000000,0.00000000","0.33514444,0.47176476,0.44162589,0.41123247,0.64687579,0.34393685,0.02774465,0.38589702,0.68558078,0.67959898,0.62666474,0.88208356,0.32862722,0.73414097,0.61478843,0.45264553,0.27898133,0.52590466,0.79756884,0.31074995","MaxAgentsBot:6/7,MaxPrestigeBot:2/6,PatronFavorsBot:5/7"
1,25,2025-05-30 17:10:06,171.33,FixedSegBaseTotal:20;HoFBasePair:4,520,13.0,11.35,11.0,10.0,0.9631,"0.57441075,0.00000000,1.00000000,0.64950181,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.59576725,0.95580781,0.20658589,0.92966318,0.84386824,0.73933651,1.00000000,0.55415419,1.00000000,0.00000000","0.29764734,0.48933838,0.47336096,0.41473599,0.73391900,0.36412236,0.03008417,0.36529841,0.70191852,0.64027309,0.60974581,0.87815542,0.33998999,0.71835631,0.59650395,0.45167253,0.31059387,0.54560487,0.79455145,0.32606509","MaxAgentsBot:6/7,MaxPrestigeBot:2/6,PatronFavorsBot:5/7"
1,26,2025-05-30 17:10:12,177.37,FixedSegBaseTotal:20;HoFBasePair:4,540,13.0,11.55,11.0,11.0,0.7399,"0.57441075,0.00000000,1.00000000,0.64950181,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.59576725,0.95580781,0.20658589,0.92966318,0.84386824,0.73933651,1.00000000,0.55415419,1.00000000,0.00000000","0.26101922,0.55389727,0.50067822,0.46837814,0.73422487,0.30226226,0.03178224,0.28613825,0.76868658,0.60237069,0.51873700,0.88209798,0.24755226,0.71893402,0.64802646,0.49930227,0.22323701,0.52965263,0.80595584,0.32771615","MaxAgentsBot:6/7,MaxPrestigeBot:2/6,PatronFavorsBot:5/7"
