# Experiment Session ID: session_20250625_022002_s123_mhybrid
# Date Generated: 2025-06-25 02:20:02 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.2,coevolution:0.5,fixed:0.3
# Base Games vs Fixed Opponents: 200
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot', 'DecisionTreeBot']
# Base Coevo Games per Peer Pairing: 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-25 02:20:33,29.57,FixedSegBaseTotal:200,10,17.5,4.8,2.75,1.5,4.632,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A
1,1,2025-06-25 02:21:02,58.39,FixedSegBaseTotal:200,20,37.0,12.7,9.0,4.5,9.261,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.47188012,0.38856742,0.46495200,0.46107925,0.62769952,0.45573766,0.24077969,0.36159738,0.51837730,0.55518872,0.53482562,0.51045131,0.33458631,0.46551735,0.49564365,0.75696122,0.38494381,0.56009989,0.60317586,0.57288088",N/A
1,2,2025-06-25 02:21:32,89.03,FixedSegBaseTotal:200,30,37.0,14.45,11.75,7.5,8.519,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.42324210,0.28319702,0.55451213,0.54757686,0.53770106,0.42526816,0.18862595,0.36814479,0.41490448,0.47365544,0.49855618,0.48752119,0.35442867,0.45640899,0.30975829,0.79092619,0.35708825,0.52848053,0.50017018,0.55341837",N/A
1,3,2025-06-25 02:21:56,112.91,FixedSegBaseTotal:200,40,37.0,19.05,17.25,8.5,8.881,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.50976934,0.38611255,0.49069816,0.42636106,0.55598303,0.39264692,0.10592691,0.41872169,0.56745526,0.57407301,0.58768474,0.52554140,0.30344129,0.48405075,0.39071220,0.73656899,0.37545135,0.52633051,0.64551882,0.45666135",N/A
1,4,2025-06-25 02:22:33,149.78,FixedSegBaseTotal:200,50,37.0,24.2,24.0,16.0,6.943,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.46465981,0.47921496,0.50258668,0.40716528,0.58016791,0.26791168,0.04060644,0.63247651,0.47228929,0.64263383,0.57682757,0.78687456,0.31114999,0.58775249,0.46376345,0.67552348,0.30186895,0.41887522,0.69796458,0.42745855",N/A
1,5,2025-06-25 02:23:17,193.53,FixedSegBaseTotal:200,60,37.0,25.6,26.75,17.5,6.074,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.36465981,0.41449241,0.41934349,0.42952640,0.49527704,0.18197222,0.04060644,0.55847149,0.45111349,0.62221277,0.54881373,0.74401522,0.36734039,0.57434970,0.47553288,0.68074918,0.31965545,0.56110674,0.66853380,0.37871573",N/A
1,6,2025-06-25 02:23:57,234.16,FixedSegBaseTotal:200,70,37.0,28.5,27.75,21.0,4.873,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.48186898,0.44716840,0.34693283,0.48526805,0.38758759,0.27617671,0.03414615,0.45745783,0.45974731,0.76933937,0.53885025,0.77176849,0.30315476,0.57876513,0.47780367,0.66371395,0.29363983,0.44972233,0.74032815,0.30082120",N/A
1,7,2025-06-25 02:24:46,282.98,FixedSegBaseTotal:200,80,37.0,29.75,29.25,21.5,4.366,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.58534218,0.48261097,0.25130135,0.58940943,0.49294753,0.37411778,0.04871268,0.38498679,0.44451722,0.84177982,0.54272625,0.84537688,0.19062394,0.62076800,0.53402397,0.50884960,0.38589689,0.50590166,0.68037175,0.15910170",N/A
1,8,2025-06-25 02:25:20,316.58,FixedSegBaseTotal:200,90,37.0,31.85,32.25,27.5,3.163,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.67569970,0.62019775,0.21557092,0.70181335,0.63303540,0.39261606,0.09226998,0.51837566,0.39150058,0.86942167,0.66897945,0.94007896,0.16079254,0.59285096,0.63955536,0.48705696,0.36392839,0.34144616,0.72411366,0.11371305",N/A
1,9,2025-06-25 02:25:47,343.59,FixedSegBaseTotal:200,100,37.0,33.25,33.75,28.0,2.542,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.57858962,0.50699053,0.33392590,0.76515667,0.78322091,0.26246778,0.09464510,0.60331240,0.33681484,0.83874803,0.73041980,0.96056811,0.26079254,0.46820986,0.63933170,0.60781908,0.37102579,0.40993931,0.61336169,0.16065516",N/A
1,10,2025-06-25 02:26:03,359.87,CoevoSegBasePeerPair:3,110,85.185,35.926,35.185,0.0,34.468,"0.23820380,0.63126874,0.24622511,0.13604161,0.78443988,0.91884117,0.42342699,0.47806285,0.87612330,0.96085934,0.52320594,0.59583915,0.97933739,0.39668512,0.20104620,0.03955932,0.57221667,0.79972171,0.59286084,0.50722771","0.40508895,0.46514021,0.52126474,0.53316869,0.53321738,0.56761879,0.62230255,0.53625255,0.56263546,0.61075487,0.70664754,0.42105585,0.43771508,0.51965386,0.39253640,0.37906795,0.49406779,0.43920051,0.59958116,0.49091244",N/A (Coevolution)
1,11,2025-06-25 02:27:05,421.34,CoevoSegBasePeerPair:3,120,92.982,58.947,69.298,12.281,28.883,"0.68541892,0.02248945,0.00000000,0.58744135,0.00000000,0.08112649,0.41595760,0.72514802,1.00000000,0.50172401,1.00000000,1.00000000,0.03261113,0.28412957,0.18536400,0.00000000,0.25971583,0.41995601,0.00000000,0.23535947","0.50270222,0.45484177,0.36981316,0.44122020,0.41060517,0.44029289,0.48915832,0.41176925,0.75563767,0.40929843,0.70586025,0.54802450,0.45357994,0.61309706,0.30258546,0.31229006,0.46207593,0.39672117,0.70651276,0.49731979",N/A (Coevolution)
1,12,2025-06-25 02:28:12,489.15,CoevoSegBasePeerPair:3,130,89.474,70.0,70.175,52.632,11.543,"0.68541892,0.02248945,0.00000000,0.58744135,0.00000000,0.08112649,0.41595760,0.72514802,1.00000000,0.50172401,1.00000000,1.00000000,0.03261113,0.28412957,0.18536400,0.00000000,0.25971583,0.41995601,0.00000000,0.23535947","0.44863667,0.52159218,0.26493106,0.34908578,0.37949865,0.38348338,0.28945304,0.53536797,0.77364125,0.38607624,0.75799999,0.53101340,0.44930426,0.48951342,0.26211599,0.21120421,0.48987870,0.35732596,0.60254791,0.60261110",N/A (Coevolution)
1,13,2025-06-25 02:29:23,559.82,CoevoSegBasePeerPair:3,140,100.0,67.895,62.281,57.895,12.181,"1.00000000,0.00000000,0.00000000,0.12262288,0.42127066,0.00000000,0.00000000,0.02684273,0.08745829,0.99446289,0.61253145,0.75752865,1.00000000,0.52638286,0.60571992,0.40711973,0.08086147,1.00000000,0.78416928,0.02892511","0.46879485,0.55296304,0.17657297,0.31254551,0.45444286,0.37642905,0.15223878,0.35031908,0.72822149,0.51550908,0.84585332,0.52087879,0.53511143,0.42058361,0.23534684,0.29250195,0.46024073,0.46949715,0.58723737,0.50775631",N/A (Coevolution)
1,14,2025-06-25 02:30:42,638.59,CoevoSegBasePeerPair:3,150,100.0,66.316,62.281,52.632,14.335,"1.00000000,0.00000000,0.00000000,0.12262288,0.42127066,0.00000000,0.00000000,0.02684273,0.08745829,0.99446289,0.61253145,0.75752865,1.00000000,0.52638286,0.60571992,0.40711973,0.08086147,1.00000000,0.78416928,0.02892511","0.51462577,0.50214534,0.23467426,0.29312341,0.46757721,0.23667441,0.17516245,0.38697155,0.67926113,0.53680682,0.83607537,0.41198312,0.45070544,0.36842202,0.24628930,0.23218707,0.43088661,0.48660726,0.62871150,0.68076628",N/A (Coevolution)
1,15,2025-06-25 02:31:56,712.8,CoevoSegBasePeerPair:3,160,100.0,68.596,69.298,43.86,19.917,"1.00000000,0.00000000,0.00000000,0.12262288,0.42127066,0.00000000,0.00000000,0.02684273,0.08745829,0.99446289,0.61253145,0.75752865,1.00000000,0.52638286,0.60571992,0.40711973,0.08086147,1.00000000,0.78416928,0.02892511","0.72218505,0.42758141,0.31960229,0.45305988,0.54847258,0.30988860,0.18661121,0.46158941,0.65162550,0.80313171,0.81812070,0.60552781,0.42379053,0.26548116,0.23636821,0.22943903,0.38564889,0.52341060,0.37819006,0.74568001",N/A (Coevolution)
1,16,2025-06-25 02:32:56,773.11,CoevoSegBasePeerPair:3,170,100.0,71.579,71.93,52.632,15.707,"1.00000000,0.00000000,0.00000000,0.12262288,0.42127066,0.00000000,0.00000000,0.02684273,0.08745829,0.99446289,0.61253145,0.75752865,1.00000000,0.52638286,0.60571992,0.40711973,0.08086147,1.00000000,0.78416928,0.02892511","0.73768255,0.51388090,0.28320321,0.45305988,0.54847258,0.30370067,0.13189902,0.53977212,0.68333261,0.81620906,0.80966639,0.50552781,0.42579172,0.26548116,0.25557694,0.14667704,0.45802396,0.53524570,0.44959623,0.74568001",N/A (Coevolution)
1,17,2025-06-25 02:33:58,835.26,CoevoSegBasePeerPair:3,180,100.0,72.281,72.807,47.368,17.75,"1.00000000,0.00000000,0.00000000,0.12262288,0.42127066,0.00000000,0.00000000,0.02684273,0.08745829,0.99446289,0.61253145,0.75752865,1.00000000,0.52638286,0.60571992,0.40711973,0.08086147,1.00000000,0.78416928,0.02892511","0.78319042,0.32862864,0.43508228,0.52398328,0.39569589,0.26797376,0.11738680,0.50995695,0.56397552,0.91080375,0.89938656,0.80181000,0.31235036,0.44102722,0.19716834,0.24551057,0.37847495,0.46693848,0.40023706,0.68173609",N/A (Coevolution)
1,18,2025-06-25 02:34:56,892.35,CoevoSegBasePeerPair:3,190,100.0,72.807,71.93,45.614,18.354,"0.66024467,0.00000000,0.13410853,1.00000000,0.00000000,0.15595229,0.00000000,1.00000000,1.00000000,0.78035240,0.92401221,1.00000000,0.95143708,0.30556650,0.00000000,0.00000000,0.24311040,0.22498231,0.00000000,0.63428122","0.78143247,0.27124223,0.35303102,0.52511189,0.27642334,0.20090523,0.06942624,0.46240149,0.54212298,0.92448976,0.89961229,0.83375699,0.41519561,0.43220818,0.22917798,0.33434380,0.39865009,0.54625202,0.47630029,0.50717530",N/A (Coevolution)
1,19,2025-06-25 02:35:50,946.69,CoevoSegBasePeerPair:3,200,100.0,75.439,74.561,56.14,14.594,"0.66024467,0.00000000,0.13410853,1.00000000,0.00000000,0.15595229,0.00000000,1.00000000,1.00000000,0.78035240,0.92401221,1.00000000,0.95143708,0.30556650,0.00000000,0.00000000,0.24311040,0.22498231,0.00000000,0.63428122","0.78278688,0.16794277,0.43908929,0.54706729,0.27696313,0.14102174,0.07817628,0.57358137,0.51825508,0.90459685,0.89005456,0.84277170,0.35871318,0.45570081,0.33896879,0.29429243,0.34302934,0.50224510,0.35810868,0.64516421",N/A (Coevolution)
1,20,2025-06-25 02:36:33,989.7,CoevoSegBasePeerPair:3,210,100.0,75.614,72.807,59.649,12.515,"0.66024467,0.00000000,0.13410853,1.00000000,0.00000000,0.15595229,0.00000000,1.00000000,1.00000000,0.78035240,0.92401221,1.00000000,0.95143708,0.30556650,0.00000000,0.00000000,0.24311040,0.22498231,0.00000000,0.63428122","0.79684980,0.32474136,0.43135225,0.64242822,0.34386025,0.38162486,0.06079536,0.67373134,0.53571585,0.87750810,0.84627446,0.94277170,0.73776386,0.38671685,0.35293229,0.33073775,0.32922316,0.39203111,0.35972849,0.73782534",N/A (Coevolution)
